year,n_10k_filers,n_artificial_intelligence,n_machine_learning,n_generative_ai,pct_artificial_intelligence,pct_machine_learning,pct_generative_ai
2001,6180,49,2,0,0.79,0.03,0.0
2002,6612,35,3,0,0.53,0.05,0.0
2003,8379,37,1,0,0.44,0.01,0.0
2004,8469,28,1,0,0.33,0.01,0.0
2005,8942,34,2,0,0.38,0.02,0.0
2006,8776,28,2,0,0.32,0.02,0.0
2007,8411,34,4,0,0.4,0.05,0.0
2008,8575,35,11,0,0.41,0.13,0.0
2009,9659,49,10,0,0.51,0.1,0.0
2010,8955,60,9,0,0.67,0.1,0.0
2011,8619,45,11,0,0.52,0.13,0.0
2012,8239,47,8,0,0.57,0.1,0.0
2013,7898,39,15,0,0.49,0.19,0.0
2014,7857,47,30,0,0.6,0.38,0.0
2015,7767,41,45,0,0.53,0.58,0.0
2016,7373,52,64,0,0.71,0.87,0.0
2017,7074,116,137,0,1.64,1.94,0.0
2018,6907,294,244,0,4.26,3.53,0.0
2019,6777,445,360,0,6.57,5.31,0.0
2020,6615,558,439,0,8.44,6.64,0.0
2021,6984,848,619,1,12.14,8.86,0.01
2022,7648,1156,867,2,15.12,11.34,0.03
2023,7243,1295,896,69,17.88,12.37,0.95
2024,6768,2436,1243,513,35.99,18.37,7.58
2025,6558,3324,1645,877,50.69,25.08,13.37
