year,sic2,sector,ai_mention_count,pct_of_ai_filings
2001,73,"Business & IT services",17,35.4
2001,28,"Chemicals/Pharma",9,18.8
2001,35,"Machinery & computers",5,10.4
2001,61,"Nondepository credit",2,4.2
2001,62,"Securities/brokers",2,4.2
2001,36,"Electronic equipment",2,4.2
2001,38,"Instruments & med devices",3,6.2
2001,48,"Communications",2,4.2
2001,50,"Wholesale durable",1,2.1
2001,59,"Retail misc",1,2.1
2001,63,"Insurance",2,4.2
2001,79,"Amusement",1,2.1
2001,99,"Nonclassifiable",1,2.1
2002,73,"Business & IT services",13,39.4
2002,59,"Retail misc",4,12.1
2002,28,"Chemicals/Pharma",4,12.1
2002,61,"Nondepository credit",2,6.1
2002,62,"Securities/brokers",4,12.1
2002,38,"Instruments & med devices",2,6.1
2002,48,"Communications",1,3.0
2002,63,"Insurance",2,6.1
2002,64,"Insurance agents",1,3.0
2003,73,"Business & IT services",13,36.1
2003,34,"Fabricated metals",4,11.1
2003,28,"Chemicals/Pharma",5,13.9
2003,61,"Nondepository credit",2,5.6
2003,62,"Securities/brokers",4,11.1
2003,48,"Communications",1,2.8
2003,51,"Wholesale nondurable",1,2.8
2003,59,"Retail misc",1,2.8
2003,63,"Insurance",2,5.6
2003,64,"Insurance agents",1,2.8
2003,80,"Health services",1,2.8
2003,87,"Engineering/R&D/Mgmt svcs",1,2.8
2004,73,"Business & IT services",9,33.3
2004,34,"Fabricated metals",3,11.1
2004,28,"Chemicals/Pharma",3,11.1
2004,48,"Communications",2,7.4
2004,62,"Securities/brokers",2,7.4
2004,36,"Electronic equipment",2,7.4
2004,61,"Nondepository credit",1,3.7
2004,63,"Insurance",1,3.7
2004,64,"Insurance agents",1,3.7
2004,67,"Holding/investment offices",1,3.7
2004,80,"Health services",1,3.7
2004,87,"Engineering/R&D/Mgmt svcs",1,3.7
2005,73,"Business & IT services",15,44.1
2005,38,"Instruments & med devices",4,11.8
2005,36,"Electronic equipment",2,5.9
2005,62,"Securities/brokers",2,5.9
2005,67,"Holding/investment offices",2,5.9
2005,28,"Chemicals/Pharma",2,5.9
2005,34,"Fabricated metals",1,2.9
2005,35,"Machinery & computers",1,2.9
2005,48,"Communications",1,2.9
2005,60,"Banks (depository)",1,2.9
2005,61,"Nondepository credit",1,2.9
2005,64,"Insurance agents",1,2.9
2005,87,"Engineering/R&D/Mgmt svcs",1,2.9
2006,73,"Business & IT services",15,53.6
2006,62,"Securities/brokers",2,7.1
2006,28,"Chemicals/Pharma",2,7.1
2006,36,"Electronic equipment",1,3.6
2006,38,"Instruments & med devices",2,7.1
