year,event_type,n_events,window,n_window,mean_car_pct,median_car_pct,pct_negative,t_crosssec,t_bmp,z_corrado,significant
2022-2024,R_AUDITOR,1102,"CAR[0,+1]",1065,-0.64,-0.29,53.0,-2.273,0.238,0.109,0
2022-2024,R_AUDITOR,1102,"CAR[-1,+1]",1068,-0.72,-0.31,53.7,-2.115,0.483,-0.551,0
2022-2024,R_AUDITOR,1102,"CAR[0,+5]",1063,-1.15,-0.89,57.0,-2.487,-1.48,-2.637,0
2022-2024,R_AUDITOR,1102,"CAR[0,+20]",1062,-3.05,-1.43,54.6,-3.354,-0.548,-1.938,0
2022-2024,R_AUDITOR,1102,"PLACEBO[-10,-3]",1080,-0.57,-0.54,54.2,-0.937,-0.127,-1.055,0
2022-2024,R_LATE,1048,"CAR[0,+1]",1027,-1.39,-0.14,57.2,-3.899,-3.773,-2.916,1
2022-2024,R_LATE,1048,"CAR[-1,+1]",1027,-1.81,-0.37,59.4,-4.348,-4.676,-4.301,1
2022-2024,R_LATE,1048,"CAR[0,+5]",1027,-1.26,-0.33,57.0,-1.803,-1.341,-2.663,0
2022-2024,R_LATE,1048,"CAR[0,+20]",1021,-0.08,-0.38,54.1,-0.064,1.034,-3.375,0
2022-2024,R_LATE,1048,"PLACEBO[-10,-3]",1028,-1.4,-0.21,54.6,-2.452,-1.173,-2.199,0
2022-2024,R_LISTING,1978,"CAR[0,+1]",1813,-1.61,-0.35,59.7,-7.699,-5.199,-4.705,1
2022-2024,R_LISTING,1978,"CAR[-1,+1]",1931,-1.33,-0.31,58.4,-5.701,-2.218,-3.476,1
2022-2024,R_LISTING,1978,"CAR[0,+5]",1447,-1.57,-0.48,57.1,-3.481,-2.759,-3.96,1
2022-2024,R_LISTING,1978,"CAR[0,+20]",1394,1.68,-0.16,51.2,1.918,2.937,-1.539,0
2022-2024,R_LISTING,1978,"PLACEBO[-10,-3]",1969,-1.2,-0.55,56.8,-4.225,-3.252,-0.305,0
2022-2024,R_NONRELIANCE,324,"CAR[0,+1]",320,-3.16,-0.72,65.0,-4.514,-4.386,-5.377,1
2022-2024,R_NONRELIANCE,324,"CAR[-1,+1]",320,-3.59,-1.47,65.0,-4.513,-4.379,-5.66,1
2022-2024,R_NONRELIANCE,324,"CAR[0,+5]",320,-2.66,-1.52,62.5,-2.837,-2.793,-2.408,1
2022-2024,R_NONRELIANCE,324,"CAR[0,+20]",320,-0.92,-0.64,55.3,-0.506,-0.214,-0.366,0
2022-2024,R_NONRELIANCE,324,"PLACEBO[-10,-3]",320,-0.86,-0.49,55.9,-0.85,-0.556,-0.603,0
2022-2024,R_NONRELIANCE (unconfounded only),174,"CAR[0,+1]",174,-2.03,-0.52,61.5,-2.151,-2.34,-3.19,1
2022-2024,R_NONRELIANCE (unconfounded only),174,"CAR[-1,+1]",174,-2.54,-0.89,60.9,-2.509,-2.627,-3.701,1
2022-2024,R_NONRELIANCE (unconfounded only),174,"CAR[0,+5]",174,-1.67,-1.32,60.9,-1.373,-1.243,-0.993,0
2022-2024,R_NONRELIANCE (unconfounded only),174,"CAR[0,+20]",174,-1.14,-0.78,54.0,-0.499,-0.244,-0.75,0
2022-2024,R_NONRELIANCE (unconfounded only),174,"PLACEBO[-10,-3]",174,0.02,-0.4,52.9,0.023,-0.327,-0.089,0
2022-2024,UNION — first revelation of any type per issuer,2746,"CAR[0,+1]",2600,-1.21,-0.24,56.9,-6.839,-5.866,-3.728,1
2022-2024,UNION — first revelation of any type per issuer,2746,"CAR[-1,+1]",2701,-1.24,-0.27,57.1,-6.213,-4.968,-4.056,1
2022-2024,UNION — first revelation of any type per issuer,2746,"CAR[0,+5]",2277,-1.21,-0.35,55.8,-3.585,-2.981,-3.422,1
2022-2024,UNION — first revelation of any type per issuer,2746,"CAR[0,+20]",2232,0.52,-0.26,52.0,0.837,1.86,-1.966,0
2022-2024,UNION — first revelation of any type per issuer,2746,"PLACEBO[-10,-3]",2734,-0.71,-0.41,55.9,-2.943,-1.898,-0.408,0
