year,section,claim,value,unit,source_file,json_path,module
2022-2024,Finding 1,2022 size-adjusted AUC,0.607,AUC,forward_test3_2022.json,full_pillar_auc,forward3.py 2022
2022-2024,Finding 1,2022 AUC 95% CI low,0.581,AUC,forward_test3_2022.json,full_pillar_ci[0],forward3.py 2022
2022-2024,Finding 1,2022 AUC 95% CI high,0.634,AUC,forward_test3_2022.json,full_pillar_ci[1],forward3.py 2022
2022-2024,Finding 1,2022 size-only AUC,0.226,AUC,forward_test3_2022.json,size_only_auc,forward3.py 2022
2022-2024,Finding 1,2022 n,2830,issuers,forward_test3_2022.json,n,forward3.py 2022
2022-2024,Finding 1,2022 base rate,23.96,%,forward_test3_2022.json,base_rate,forward3.py 2022
2022-2024,Finding 1,"2022 median fwd return, 0 signs",8.79,%,forward_test3_2022.json,by_pillar_count[pillars=0].median_fwd,forward3.py 2022
2022-2024,Finding 1,"2022 median fwd return, 1 signs",-4.55,%,forward_test3_2022.json,by_pillar_count[pillars=1].median_fwd,forward3.py 2022
2022-2024,Finding 1,"2022 median fwd return, 2 signs",-61.18,%,forward_test3_2022.json,by_pillar_count[pillars=2].median_fwd,forward3.py 2022
2022-2024,Finding 1,"2022 median fwd return, 3 signs",-69.84,%,forward_test3_2022.json,by_pillar_count[pillars=3].median_fwd,forward3.py 2022
2022-2024,Finding 1,2023 size-adjusted AUC,0.575,AUC,forward_test3_2023.json,full_pillar_auc,forward3.py 2023
2022-2024,Finding 1,2023 AUC 95% CI low,0.557,AUC,forward_test3_2023.json,full_pillar_ci[0],forward3.py 2023
2022-2024,Finding 1,2023 AUC 95% CI high,0.595,AUC,forward_test3_2023.json,full_pillar_ci[1],forward3.py 2023
2022-2024,Finding 1,2023 size-only AUC,0.243,AUC,forward_test3_2023.json,size_only_auc,forward3.py 2023
2022-2024,Finding 1,2023 n,3902,issuers,forward_test3_2023.json,n,forward3.py 2023
2022-2024,Finding 1,2023 base rate,24.58,%,forward_test3_2023.json,base_rate,forward3.py 2023
2022-2024,Finding 1,"2023 median fwd return, 0 signs",8.04,%,forward_test3_2023.json,by_pillar_count[pillars=0].median_fwd,forward3.py 2023
2022-2024,Finding 1,"2023 median fwd return, 1 signs",0.0,%,forward_test3_2023.json,by_pillar_count[pillars=1].median_fwd,forward3.py 2023
2022-2024,Finding 1,"2023 median fwd return, 2 signs",-52.52,%,forward_test3_2023.json,by_pillar_count[pillars=2].median_fwd,forward3.py 2023
2022-2024,Finding 1,"2023 median fwd return, 3 signs",-61.39,%,forward_test3_2023.json,by_pillar_count[pillars=3].median_fwd,forward3.py 2023
2022-2024,Finding 1,2024 size-adjusted AUC,0.589,AUC,forward_test3_2024.json,full_pillar_auc,forward3.py 2024
2022-2024,Finding 1,2024 AUC 95% CI low,0.568,AUC,forward_test3_2024.json,full_pillar_ci[0],forward3.py 2024
2022-2024,Finding 1,2024 AUC 95% CI high,0.609,AUC,forward_test3_2024.json,full_pillar_ci[1],forward3.py 2024
