year,outcome,decile,n,predicted_pct,actual_pct
2022-2024,y_nonrel,1,518,1.12,0.39
2022-2024,y_nonrel,2,519,1.57,0.77
2022-2024,y_nonrel,3,519,1.9,0.77
2022-2024,y_nonrel,4,518,2.25,0.58
2022-2024,y_nonrel,5,519,2.72,1.54
2022-2024,y_nonrel,6,519,3.49,2.7
2022-2024,y_nonrel,7,518,4.68,5.02
2022-2024,y_nonrel,8,519,6.72,5.59
2022-2024,y_nonrel,9,519,9.81,6.94
2022-2024,y_nonrel,10,519,19.54,10.98
2022-2024,y_any,1,518,8.1,3.47
2022-2024,y_any,2,519,12.68,6.55
2022-2024,y_any,3,519,16.93,12.72
2022-2024,y_any,4,518,22.17,16.99
2022-2024,y_any,5,519,28.93,24.66
2022-2024,y_any,6,519,39.41,35.84
2022-2024,y_any,7,518,55.93,42.08
2022-2024,y_any,8,519,76.34,64.35
2022-2024,y_any,9,519,90.15,81.89
2022-2024,y_any,10,519,97.14,91.52
2022-2024,y_severe,1,405,4.95,3.21
2022-2024,y_severe,2,405,7.74,4.94
2022-2024,y_severe,3,405,9.86,9.14
2022-2024,y_severe,4,405,12.16,9.38
2022-2024,y_severe,5,406,15.18,13.55
2022-2024,y_severe,6,405,19.65,19.26
2022-2024,y_severe,7,405,25.78,21.98
2022-2024,y_severe,8,405,35.75,32.84
2022-2024,y_severe,9,405,54.71,45.43
2022-2024,y_severe,10,406,78.48,58.87
