year,outcome,term,label,coef,odds_ratio,se,z,p,or_lo,or_hi
2022-2024,y_nonrel,going_concern,Going-concern doubt,0.5481,1.73,0.1482,3.7,0.000216,1.294,2.313
2022-2024,y_nonrel,material_weakness,Material weakness,0.6935,2.001,0.1062,6.53,0.0,1.625,2.464
2022-2024,y_nonrel,rss,Reverse stock split,0.0534,1.055,0.1407,0.38,0.704486,0.801,1.39
2022-2024,y_nonrel,elc,Equity line of credit,0.3929,1.481,0.2268,1.73,0.083188,0.95,2.311
2022-2024,y_nonrel,sepa,Standby equity purchase,0.594,1.811,0.4534,1.31,0.190213,0.745,4.405
2022-2024,y_nonrel,prefunded,Pre-funded warrant + blocker,-0.1041,0.901,0.4144,-0.25,0.80176,0.4,2.03
2022-2024,y_nonrel,a1,A1 share explosion,0.2144,1.239,0.1747,1.23,0.219745,0.88,1.745
2022-2024,y_nonrel,a3,A3 manufactured asset,0.3587,1.431,0.5015,0.72,0.474421,0.536,3.825
2022-2024,y_nonrel,ramp,P8 ramp signature,-0.0447,0.956,0.4173,-0.11,0.914685,0.422,2.167
2022-2024,y_nonrel,log_assets,log(total assets),0.0199,1.02,0.0249,0.8,0.42469,0.971,1.071
2022-2024,y_nonrel,log_float,log(public float),-0.1195,0.887,0.0213,-5.62,0.0,0.851,0.925
2022-2024,y_nonrel,free_float,free-float ratio,0.0372,1.038,0.0196,1.9,0.057999,0.999,1.079
2022-2024,y_nonrel,shell,Shell company,0.646,1.908,0.1786,3.62,0.000299,1.344,2.708
2022-2024,y_nonrel,prior_any,Prior revelation (pre-10-K),0.7135,2.041,0.1245,5.73,0.0,1.599,2.605
2022-2024,y_nonrel,a4,A4 period inconsistency,,,,,,,
2022-2024,y_any,going_concern,Going-concern doubt,0.7842,2.191,0.0732,10.71,0.0,1.898,2.529
2022-2024,y_any,material_weakness,Material weakness,0.5034,1.654,0.066,7.62,0.0,1.453,1.883
2022-2024,y_any,rss,Reverse stock split,0.4336,1.543,0.0757,5.73,0.0,1.33,1.789
2022-2024,y_any,elc,Equity line of credit,0.2533,1.288,0.1373,1.84,0.065087,0.984,1.686
2022-2024,y_any,sepa,Standby equity purchase,1.0147,2.759,0.4806,2.11,0.034721,1.076,7.076
2022-2024,y_any,prefunded,Pre-funded warrant + blocker,-0.1928,0.825,0.2743,-0.7,0.482104,0.482,1.412
2022-2024,y_any,a1,A1 share explosion,0.6679,1.95,0.1333,5.01,1e-06,1.502,2.532
2022-2024,y_any,a3,A3 manufactured asset,1.2496,3.489,0.8586,1.46,0.145581,0.648,18.775
2022-2024,y_any,ramp,P8 ramp signature,0.001,1.001,0.2635,0.0,0.997113,0.597,1.678
2022-2024,y_any,log_assets,log(total assets),-0.1343,0.874,0.0208,-6.47,0.0,0.839,0.911
2022-2024,y_any,log_float,log(public float),-0.1801,0.835,0.0229,-7.87,0.0,0.799,0.874
2022-2024,y_any,free_float,free-float ratio,0.0471,1.048,0.0163,2.89,0.003815,1.015,1.082
2022-2024,y_any,shell,Shell company,1.1072,3.026,0.1494,7.41,0.0,2.258,4.056
2022-2024,y_any,prior_any,Prior revelation (pre-10-K),1.0039,2.729,0.0627,16.02,0.0,2.413,3.085
2022-2024,y_any,a4,A4 period inconsistency,,,,,,,
2022-2024,y_severe,going_concern,Going-concern doubt,0.6064,1.834,0.0853,7.11,0.0,1.552,2.167
2022-2024,y_severe,material_weakness,Material weakness,0.286,1.331,0.0772,3.7,0.000212,1.144,1.549
2022-2024,y_severe,rss,Reverse stock split,0.3906,1.478,0.085,4.59,4e-06,1.251,1.746
2022-2024,y_severe,elc,Equity line of credit,0.1425,1.153,0.1705,0.84,0.403405,0.825,1.611
2022-2024,y_severe,sepa,Standby equity purchase,0.0726,1.075,0.3221,0.23,0.821615,0.572,2.022
2022-2024,y_severe,prefunded,Pre-funded warrant + blocker,0.2034,1.226,0.2772,0.73,0.463106,0.712,2.11
2022-2024,y_severe,a1,A1 share explosion,0.578,1.783,0.1437,4.02,5.7e-05,1.345,2.362
2022-2024,y_severe,ramp,P8 ramp signature,-0.2611,0.77,0.2823,-0.92,0.355062,0.443,1.339
2022-2024,y_severe,log_assets,log(total assets),-0.1719,0.842,0.0254,-6.77,0.0,0.801,0.885
2022-2024,y_severe,log_float,log(public float),-0.0689,0.933,0.0215,-3.2,0.001352,0.895,0.974
2022-2024,y_severe,free_float,free-float ratio,0.0344,1.035,0.0172,2.0,0.045088,1.001,1.07
2022-2024,y_severe,shell,Shell company,0.5871,1.799,0.1514,3.88,0.000105,1.337,2.42
2022-2024,y_severe,prior_any,Prior revelation (pre-10-K),0.2749,1.316,0.0716,3.84,0.000124,1.144,1.515
2022-2024,y_severe,a3,A3 manufactured asset,,,,,,,
2022-2024,y_severe,a4,A4 period inconsistency,,,,,,,
