year,outcome,model,specification,term,label,unit,estimate,se,p,stars
2022-2024,y_nonrel,nested_logit,bivariate,going_concern,Going-concern doubt,odds_ratio,4.1,0.405,0.0,***
2022-2024,y_nonrel,nested_logit,+ signals,going_concern,Going-concern doubt,odds_ratio,3.397,0.379,0.0,***
2022-2024,y_nonrel,nested_logit,+ size,going_concern,Going-concern doubt,odds_ratio,2.404,0.341,0.0,***
2022-2024,y_nonrel,nested_logit,+ structure,going_concern,Going-concern doubt,odds_ratio,1.695,0.249,0.000321,***
2022-2024,y_nonrel,nested_logit,+ FE (full),going_concern,Going-concern doubt,odds_ratio,1.721,0.254,0.000236,***
2022-2024,y_nonrel,nested_logit,+ signals,mw_alt,Material weakness (alt phrasing),odds_ratio,2.247,0.327,0.0,***
2022-2024,y_nonrel,nested_logit,+ size,mw_alt,Material weakness (alt phrasing),odds_ratio,2.302,0.33,0.0,***
2022-2024,y_nonrel,nested_logit,+ structure,mw_alt,Material weakness (alt phrasing),odds_ratio,1.976,0.295,5e-06,***
2022-2024,y_nonrel,nested_logit,+ FE (full),mw_alt,Material weakness (alt phrasing),odds_ratio,1.994,0.304,6e-06,***
2022-2024,y_nonrel,nested_logit,+ signals,material_weakness,Material weakness,odds_ratio,1.533,0.208,0.001604,**
2022-2024,y_nonrel,nested_logit,+ size,material_weakness,Material weakness,odds_ratio,1.565,0.209,0.000805,***
2022-2024,y_nonrel,nested_logit,+ structure,material_weakness,Material weakness,odds_ratio,1.451,0.197,0.006032,**
2022-2024,y_nonrel,nested_logit,+ FE (full),material_weakness,Material weakness,odds_ratio,1.427,0.197,0.010037,*
2022-2024,y_nonrel,nested_logit,+ signals,a1,A1 share explosion,odds_ratio,1.332,0.23,0.09725,
2022-2024,y_nonrel,nested_logit,+ size,a1,A1 share explosion,odds_ratio,1.206,0.212,0.286731,
2022-2024,y_nonrel,nested_logit,+ structure,a1,A1 share explosion,odds_ratio,1.222,0.214,0.254295,
2022-2024,y_nonrel,nested_logit,+ FE (full),a1,A1 share explosion,odds_ratio,1.263,0.221,0.181721,
2022-2024,y_nonrel,nested_logit,+ signals,rss,Reverse stock split,odds_ratio,1.109,0.144,0.428019,
2022-2024,y_nonrel,nested_logit,+ size,rss,Reverse stock split,odds_ratio,0.997,0.127,0.979776,
2022-2024,y_nonrel,nested_logit,+ structure,rss,Reverse stock split,odds_ratio,1.086,0.154,0.559281,
2022-2024,y_nonrel,nested_logit,+ FE (full),rss,Reverse stock split,odds_ratio,1.099,0.159,0.512942,
