year,layer,measure,value,note
2021-2026,harm,measured_investor_loss_revelation_days_usd,10472672791,"event_study.py UNION, 2,115 first-revelation events"
2021-2026,L1_detection,issuers_with_dated_revelation,2746,
2021-2026,L1_detection,issuers_name_checkable,1422,
2021-2026,L1_detection,coverage_lower_bound,0.00422,both matchers agree
2021-2026,L1_detection,coverage_upper_bound,0.0218,either matcher fires
2021-2026,L2_indexation,issuers_measurable_both_sides,615,
2021-2026,L2_indexation,investor_loss_signed_usd,3687321051,headline basis
2021-2026,L2_indexation,investor_loss_negatives_only_usd,6714663110,
2021-2026,L2_indexation,measurable_insider_gain_usd,496342438,"open-market sales only, a lower bound"
2021-2026,L2_indexation,gain_as_share_of_loss_signed,0.13461,Liu net-profits ceiling as a share of harm
2021-2026,L3_ordering,litigation_releases_parsed,1592,2021-01-01 onward
2021-2026,L3_ordering,cases_with_ordered_amount,437,deduplicated by case
2021-2026,L3_ordering,disgorgement_ordered_usd,1407314732,district court only; excludes administrative proceedings
2021-2026,L3_ordering,civil_penalty_ex_stanford_usd,881115252,excludes the 2009 Stanford judgment
2021-2026,L3_ordering,median_ordered_per_case_usd,700000,
2021-2026,L3_ordering,share_of_cases_under_1m,0.5789,vs the 78u-6(a)(1) covered-action floor
2021-2026,L3_ordering,top5_share_of_ordered,0.7705,
2021-2026,L4_return,distribution_case_pages_all_years,151,"SEC distributions index, entire history"
2021-2026,L4_return,sec_district_court_cases_2021_2026,1600,
2021-2026,L5_clock,median_years_signal_to_revelation,0.61,NULL result - inside the 5-year 78u(d)(8) period
2021-2026,L5_clock,share_over_2_years,0.0526,
