year,outcome,variant,sample,n,base_rate_pct,auc_size_adj,ci_lo,ci_hi,auc_size_only,monotone,lift_top_over_bottom
2022-2024,y_listing,FULL,ALL,14282,20.49,0.606,0.594,0.617,0.285,1,7.52
2022-2024,y_nonrel,FULL,ALL,14282,4.13,0.605,0.581,0.633,0.305,0,3.9
2022-2024,y_any,FULL,ALL,14282,39.25,0.621,0.611,0.63,0.185,0,4.24
2022-2024,y_listing,FULL,ALL,14282,20.49,0.606,0.594,0.617,0.285,1,7.52
2022-2024,y_listing,NO_RSS,ALL,14282,20.49,0.579,0.568,0.589,0.285,1,6.5
2022-2024,y_listing,NO_P4,ALL,14282,20.49,0.576,0.566,0.586,0.285,1,5.98
2022-2024,y_listing,TEXT_ONLY,ALL,14282,20.49,0.572,0.562,0.581,0.285,1,5.73
2022-2024,y_listing,FULL,NOPRIOR,12564,14.61,0.567,0.553,0.579,0.328,1,3.76
2022-2024,y_listing,NO_RSS,NOPRIOR,12564,14.61,0.55,0.539,0.562,0.328,1,2.62
2022-2024,y_listing,TEXT_ONLY,NOPRIOR,12564,14.61,0.549,0.538,0.56,0.328,1,5.56
2022-2024,y_nonrel,FULL,NOPRIOR,12564,3.49,0.606,0.575,0.639,0.299,1,7.53
2022,y_listing,FULL,ALL,3854,20.58,0.581,0.56,0.601,0.322,1,3.62
2022,y_listing,NO_RSS,NOPRIOR,3731,18.82,0.55,0.53,0.57,0.33,0,2.02
2023,y_listing,FULL,ALL,5241,21.08,0.606,0.586,0.626,0.277,1,5.91
2023,y_listing,NO_RSS,NOPRIOR,4601,14.74,0.558,0.54,0.58,0.32,0,2.67
2024,y_listing,FULL,ALL,5187,19.82,0.62,0.6,0.641,0.266,1,8.05
2024,y_listing,NO_RSS,NOPRIOR,4232,10.78,0.538,0.514,0.562,0.348,1,3.42
2022-2024,y_listing_12m,FULL,ALL,14282,13.86,0.623,0.607,0.639,0.249,1,13.1
