year,outcome,variant,sample,warning_signs,n_firms,n_with_event,rate_pct
2022-2024,y_listing,FULL,ALL,0,8436,860,10.19
2022-2024,y_listing,FULL,ALL,1,4115,1193,28.99
2022-2024,y_listing,FULL,ALL,2,1404,660,47.01
2022-2024,y_listing,FULL,ALL,3,296,189,63.85
2022-2024,y_listing,FULL,ALL,4,30,23,76.67
2022-2024,y_nonrel,FULL,ALL,0,8436,144,1.71
2022-2024,y_nonrel,FULL,ALL,1,4115,291,7.07
2022-2024,y_nonrel,FULL,ALL,2,1404,124,8.83
2022-2024,y_nonrel,FULL,ALL,3,296,28,9.46
2022-2024,y_nonrel,FULL,ALL,4,30,2,6.67
2022-2024,y_any,FULL,ALL,0,8436,1792,21.24
2022-2024,y_any,FULL,ALL,1,4115,2401,58.35
2022-2024,y_any,FULL,ALL,2,1404,1117,79.56
2022-2024,y_any,FULL,ALL,3,296,268,90.54
2022-2024,y_any,FULL,ALL,4,30,27,90.0
2022-2024,y_listing,FULL,ALL,0,8436,860,10.19
2022-2024,y_listing,FULL,ALL,1,4115,1193,28.99
2022-2024,y_listing,FULL,ALL,2,1404,660,47.01
2022-2024,y_listing,FULL,ALL,3,296,189,63.85
2022-2024,y_listing,FULL,ALL,4,30,23,76.67
2022-2024,y_listing,NO_RSS,ALL,0,9090,1081,11.89
2022-2024,y_listing,NO_RSS,ALL,1,4512,1485,32.91
2022-2024,y_listing,NO_RSS,ALL,2,611,307,50.25
2022-2024,y_listing,NO_RSS,ALL,3,66,51,77.27
2022-2024,y_listing,NO_P4,ALL,0,9331,1114,11.94
2022-2024,y_listing,NO_P4,ALL,1,4410,1523,34.54
2022-2024,y_listing,NO_P4,ALL,2,505,263,52.08
2022-2024,y_listing,NO_P4,ALL,3,35,25,71.43
2022-2024,y_listing,TEXT_ONLY,ALL,0,9497,1148,12.09
2022-2024,y_listing,TEXT_ONLY,ALL,1,4697,1717,36.56
2022-2024,y_listing,TEXT_ONLY,ALL,2,88,61,69.32
2022-2024,y_listing,FULL,NOPRIOR,0,8072,750,9.29
2022-2024,y_listing,FULL,NOPRIOR,1,3509,802,22.86
2022-2024,y_listing,FULL,NOPRIOR,2,855,238,27.84
2022-2024,y_listing,FULL,NOPRIOR,3,123,43,34.96
2022-2024,y_listing,NO_RSS,NOPRIOR,0,8565,878,10.25
2022-2024,y_listing,NO_RSS,NOPRIOR,1,3630,851,23.44
2022-2024,y_listing,NO_RSS,NOPRIOR,2,350,94,26.86
2022-2024,y_listing,TEXT_ONLY,NOPRIOR,0,8938,927,10.37
2022-2024,y_listing,TEXT_ONLY,NOPRIOR,1,3600,894,24.83
2022-2024,y_listing,TEXT_ONLY,NOPRIOR,2,26,15,57.69
2022-2024,y_nonrel,FULL,NOPRIOR,0,8072,131,1.62
2022-2024,y_nonrel,FULL,NOPRIOR,1,3509,220,6.27
2022-2024,y_nonrel,FULL,NOPRIOR,2,855,73,8.54
2022-2024,y_nonrel,FULL,NOPRIOR,3,123,15,12.2
2022,y_listing,FULL,ALL,0,2338,292,12.49
2022,y_listing,FULL,ALL,1,1129,344,30.47
2022,y_listing,FULL,ALL,2,343,138,40.23
2022,y_listing,FULL,ALL,3,42,19,45.24
2022,y_listing,NO_RSS,NOPRIOR,0,2489,337,13.54
2022,y_listing,NO_RSS,NOPRIOR,1,1132,333,29.42
2022,y_listing,NO_RSS,NOPRIOR,2,106,29,27.36
2023,y_listing,FULL,ALL,0,3061,291,9.51
2023,y_listing,FULL,ALL,1,1539,491,31.9
2023,y_listing,FULL,ALL,2,536,262,48.88
2023,y_listing,FULL,ALL,3,96,54,56.25
2023,y_listing,NO_RSS,NOPRIOR,0,3120,294,9.42
2023,y_listing,NO_RSS,NOPRIOR,1,1332,344,25.83
2023,y_listing,NO_RSS,NOPRIOR,2,139,35,25.18
2024,y_listing,FULL,ALL,0,3037,277,9.12
2024,y_listing,FULL,ALL,1,1447,358,24.74
2024,y_listing,FULL,ALL,2,525,260,49.52
2024,y_listing,FULL,ALL,3,158,116,73.42
2024,y_listing,NO_RSS,NOPRIOR,0,2956,247,8.36
2024,y_listing,NO_RSS,NOPRIOR,1,1166,174,14.92
2024,y_listing,NO_RSS,NOPRIOR,2,105,30,28.57
2022-2024,y_listing_12m,FULL,ALL,0,8436,429,5.09
2022-2024,y_listing_12m,FULL,ALL,1,4115,832,20.22
2022-2024,y_listing_12m,FULL,ALL,2,1404,534,38.03
2022-2024,y_listing_12m,FULL,ALL,3,296,164,55.41
2022-2024,y_listing_12m,FULL,ALL,4,30,20,66.67
