year,instrument,signal_id,n,n_filers,pct,denom_source
2015,C,auditor_market.nonbig4_share,100,165,60.606,pcaob_audit_engagements
2016,C,auditor_market.nonbig4_share,2759,6017,45.853,pcaob_audit_engagements
2017,C,auditor_market.nonbig4_share,3603,7558,47.671,pcaob_audit_engagements
2018,C,auditor_market.nonbig4_share,3496,7365,47.468,pcaob_audit_engagements
2019,C,auditor_market.nonbig4_share,3389,7274,46.591,pcaob_audit_engagements
2020,C,auditor_market.nonbig4_share,3924,7943,49.402,pcaob_audit_engagements
2021,C,auditor_market.nonbig4_share,4562,8641,52.795,pcaob_audit_engagements
2022,C,auditor_market.nonbig4_share,4056,8009,50.643,pcaob_audit_engagements
2023,C,auditor_market.nonbig4_share,3737,7581,49.294,pcaob_audit_engagements
2024,C,auditor_market.nonbig4_share,3738,7504,49.813,pcaob_audit_engagements
2025,C,auditor_market.nonbig4_share,3567,7223,49.384,pcaob_audit_engagements
2015,C,auditor_market.top10_nonbig4_share,45,100,45.0,pcaob_audit_engagements
2016,C,auditor_market.top10_nonbig4_share,1028,2759,37.26,pcaob_audit_engagements
2017,C,auditor_market.top10_nonbig4_share,1329,3603,36.886,pcaob_audit_engagements
2018,C,auditor_market.top10_nonbig4_share,1325,3496,37.9,pcaob_audit_engagements
2019,C,auditor_market.top10_nonbig4_share,1342,3389,39.599,pcaob_audit_engagements
2020,C,auditor_market.top10_nonbig4_share,1792,3924,45.668,pcaob_audit_engagements
2021,C,auditor_market.top10_nonbig4_share,2242,4562,49.145,pcaob_audit_engagements
2022,C,auditor_market.top10_nonbig4_share,1715,4056,42.283,pcaob_audit_engagements
2023,C,auditor_market.top10_nonbig4_share,1372,3737,36.714,pcaob_audit_engagements
2024,C,auditor_market.top10_nonbig4_share,1292,3738,34.564,pcaob_audit_engagements
2025,C,auditor_market.top10_nonbig4_share,1330,3567,37.286,pcaob_audit_engagements
2001,E,delist_notice.regain_compliance,52,6180,0.841,10k_filers
2002,E,delist_notice.regain_compliance,131,6612,1.981,10k_filers
2003,E,delist_notice.regain_compliance,197,8379,2.351,10k_filers
2004,E,delist_notice.regain_compliance,87,8469,1.027,10k_filers
2005,E,delist_notice.regain_compliance,101,8942,1.13,10k_filers
2006,E,delist_notice.regain_compliance,99,8776,1.128,10k_filers
2007,E,delist_notice.regain_compliance,118,8411,1.403,10k_filers
2008,E,delist_notice.regain_compliance,179,8575,2.087,10k_filers
2009,E,delist_notice.regain_compliance,300,9659,3.106,10k_filers
2010,E,delist_notice.regain_compliance,240,8955,2.68,10k_filers
2011,E,delist_notice.regain_compliance,203,8619,2.355,10k_filers
2012,E,delist_notice.regain_compliance,191,8239,2.318,10k_filers
2013,E,delist_notice.regain_compliance,175,7898,2.216,10k_filers
2014,E,delist_notice.regain_compliance,131,7857,1.667,10k_filers
2015,E,delist_notice.regain_compliance,141,7767,1.815,10k_filers
2016,E,delist_notice.regain_compliance,239,7373,3.242,10k_filers
2017,E,delist_notice.regain_compliance,221,7074,3.124,10k_filers
2018,E,delist_notice.regain_compliance,208,6907,3.011,10k_filers
2019,E,delist_notice.regain_compliance,234,6777,3.453,10k_filers
2020,E,delist_notice.regain_compliance,302,6615,4.565,10k_filers
2021,E,delist_notice.regain_compliance,247,6984,3.537,10k_filers
2022,E,delist_notice.regain_compliance,298,7648,3.896,10k_filers
2023,E,delist_notice.regain_compliance,564,7243,7.787,10k_filers
