year,detector,outcome,n,n_flagged,base_rate_pct,precision_pct,lift,recall_pct,fisher_p,auc_observed,auc_ceiling
2022-2024,A1,y_nonrel,14282,539,4.13,9.09,2.2,8.31,0.0,0.5072,0.9568
2022-2024,A3,y_nonrel,14282,29,4.13,17.24,4.17,0.85,0.00617,0.5014,0.5246
2022-2024,A4,y_nonrel,14282,4,4.13,0.0,0.0,0.0,1.0,0.4999,0.5034
2022-2024,ANY,y_nonrel,14282,567,4.13,9.35,2.26,8.98,0.0,0.5082,0.9805
2022-2024,A1,y_any,14282,539,39.25,77.55,1.98,7.46,0.0,0.5158,0.5481
2022-2024,A3,y_any,14282,29,39.25,93.1,2.37,0.48,0.0,0.5011,0.5026
2022-2024,A4,y_any,14282,4,39.25,50.0,1.27,0.04,0.51185,0.5001,0.5004
2022-2024,ANY,y_any,14282,567,39.25,77.95,1.99,7.88,0.0,0.5167,0.5506
2022-2024,A1,y_severe,10784,315,23.4,56.51,2.42,7.06,0.0,0.5127,0.5624
2022-2024,A3,y_severe,10784,16,23.4,62.5,2.67,0.4,0.00094,0.5006,0.5032
2022-2024,A4,y_severe,10784,3,23.4,66.67,2.85,0.08,0.13857,0.5009,0.5006
2022-2024,ANY,y_severe,10784,331,23.4,56.8,2.43,7.45,0.0,0.514,0.5656
